Symbol
AAL
AAPL
AMAT
AMC
AMD
AMLP
ATAI
AVTR
BA
BAC
BBY
BEN
BGNE
BIDU
BILI
BKR
BMY
BRO
BSX
BTC-USD
BX
C
CAAS
CBAT
CCL
CHNR
CJJD
CLF
CMCSA
CNET
COIN
COP
CREG
CSCO
CSIQ
CSX
CTLT
CTRA
CZR
DAL
DBA
DIS
DKNG
DVN
EBAY
EFA
EFV
EMB
EPD
ETH-USD
EWA
EWU
EWW
EWZ
F
FCX
FE
FL
GIGM
GILD
GLD
GM
GURE
HIMX
HOLI
HPQ
HTHT
HYG
IBM
INDA
INTC
IP
IQ
IWM
IYR
JD
JG
JNK
JPM
KDP
KNDI
KO
KSS
LQD
LX
LYB
LYV
M
MMM
MO
MRK
MRNA
MRO
MRVL
MS
MSFT
MTC
MTCH
MU
NCTY
NEM
NFLX
NIU
NKLA
NTES
NVDA
NVFY
O
OKE
ORCL
OXY
PANW
PDD
PEAK
PFE
PFF
PINS
PLUG
PM
PME
PPL
PT
PTON
PUYI
PXD
PYPL
QQQ
QTT
RCON
RIVN
ROKU
SCHP
SECO
SEED
SIMO
SJNK
SLB
SLV
SNAP
SOHU
SPY
SQ
T
TEDU
TFC
TIGR
TIP
TLT
TOUR
TSLA
U
UAL
UBER
USB
UTSI
UXIN
VFC
VIOT
VNET
VNO
VNQ
VTIP
VZ
WB
WDC
WFC
WMB
WY
XBI
XHB
XLE
XME
XNET
XOM
XOP
YI
YJ
YY
