Symbol
BAC
BBY
BGNE
BSX
CLF
CREG
CSX
CTLT
CZR
DKNG
EMB
EWW
GM
HOLI
INDA
JPM
LX
LYB
MO
MS
MTC
MTCH
NKLA
NVFY
OKE
ORCL
PFF
PLUG
PME
PPL
QTT
ROKU
SECO
SNAP
SQ
TEDU
UAL
UXIN
VNET
VNO
WDC
XOM
YJ
YY
BTC-USD
ETH-USD
