Symbol
AAL
AAPL
ABNB
AMAT
AMC
AMD
AMLP
ATVI
AVTR
BA
BAC
BBY
BEN
BKR
BMY
BRO
BSX
BX
C
CCL
CHK
CLF
CMCSA
COIN
COP
CSCO
CSX
CTLT
CTRA
CVS
CZR
DAL
DASH
DIS
DKNG
DVN
EBAY
EFV
EMB
EPD
EWA
EWU
F
FCX
FE
FL
FNF
GILD
GLW
GM
HPQ
IBM
INDA
INTC
IP
IPG
JNJ
JNK
JPM
KDP
KHC
KO
KSS
LYB
LYV
M
MDLZ
MMM
MO
MRK
MRNA
MRO
MRVL
MS
MSFT
MTCH
MU
NEM
NFLX
NKLA
NVDA
O
OKE
ON
ORCL
OXY
PANW
PARA
PEAK
PFE
PFF
PG
PINS
PLUG
PM
PPL
PTON
PXD
PYPL
QCOM
RBLX
RIVN
ROKU
SCHP
SCHW
SJNK
SLB
SNAP
SQ
T
TFC
TIP
TSLA
U
UAL
UBER
USB
VFC
VNO
VTIP
VZ
VZ
WDC
WFC
WMB
WY
XOM
ZI
